2013/12/8,PM2.5,80,74,73,68,61,62,52,52,46,47,50,64,76,78,77,73,81,81,80,68,64,73,93,98
2013/12/8,WIND_DIREC,247,103,140,113,54,57,80,55,111,285,245,198,297,271,334,23,19,33,41,80,63,164,187,43
2013/12/8,WIND_SPEED,0.8,1,0.8,1,0.7,0.5,0.8,0.5,0.7,1,1.7,1.3,1.8,1.7,1.8,2.3,2.2,1.9,1.3,0.5,0.5,0.7,0.5,0.8
2013/12/9,PM10,143,131,119,101,94,99,107,122,134,147,145,131,105,71,44,35,46,65,70,68,54,56,54,66
2013/12/9,PM2.5,98,95,94,93,77,83,77,91,85,94,87,81,64,48,27,24,20,38,39,44,41,44,41,44
2013/12/9,WIND_DIREC,35,44,31,51,76,31,39,48,44,40,55,65,54,47,40,29,28,76,35,45,45,58,38,41
2013/12/9,WIND_SPEED,0.7,0.7,1.9,0.6,0.5,0.9,1.6,2,3,3.7,4,2.7,3.6,3.3,3.1,3.1,2.9,2.9,3.2,2.1,2.6,1.1,2.1,1.7
2013/12/10,PM10,63,60,74,96,131,138,146,130,130,131,139,138,134,139,140,137,132,132,132,127,125,122,121,114
2013/12/10,PM2.5,42,52,66,81,96,115,115,120,97,98,87,103,107,106,90,85,81,86,83,86,83,84,78,75
2013/12/10,WIND_DIREC,30,53,93,335,29,27,35,22,44,29,348,12,13,346,17,27,33,15,31,40,17,21,44,33
2013/12/10,WIND_SPEED,2.1,2,1.2,1.6,1.7,2.4,1.8,2.4,2.3,2.1,2,2.6,1.5,2.9,3.1,2.8,2.7,1.9,2.1,1.3,1.8,2.3,1.2,1.8
2013/12/11,PM10,110,106,101,96,89,84,79,81,81,87,90,90,91,89,85,88,88,97,88,87,80,80,79,71
2013/12/11,PM2.5,67,70,73,76,78,66,58,51,58,61,60,60,113*,96*,102*,46,58,55,51,55,53,52,51,47
2013/12/11,WIND_DIREC,18,18,45,343,27,18,69,30,25,20,35,33,77,34,45,48,35,19,37,29,25,26,21,20
2013/12/11,WIND_SPEED,2.3,2,1.9,2.1,0.8,1.1,0.6,1,1.4,1.9,2,2.5,1.3,3.1,1.6,3.1,2.5,3.1,1.7,1.9,2.2,1.7,1.5,1.5
2013/12/12,PM10,70,65,67,62,60,59,73,77,85,84,94,96,107,126,144,168,156,162,144,151,136,124,111,111
2013/12/12,PM2.5,45,39,42,44,45,44,44,45,44,46,50,58,71,90,96,88,94,94,93,85,84,95,86,88
2013/12/12,WIND_DIREC,25,350,51,39,13,34,41,29,47,24,16,123,45,359,304,28,31,27,18,30,29,23,27,40
2013/12/12,WIND_SPEED,1.7,1.1,0.9,0.9,1.6,1.7,0.9,1.2,0.9,0.7,1.3,0.9,1,1.2,1.4,3.1,1.6,0.9,1,1.2,1.5,1.4,1.1,1.6
2013/12/13,PM10,114,115,106,99,89,81,76,75,75,71,67,75,86,91,92,87,100,93,94,74,69,58,58,56
2013/12/13,PM2.5,81,81,72,67,56,54,53,45,41,40,54,57,53,51,49,49,53,47,47,36,35,30,32,33
2013/12/13,WIND_DIREC,32,35,37,50,36,43,30,40,34,39,32,39,57,36,49,32,32,29,35,27,46,350,14,24
2013/12/13,WIND_SPEED,1.9,2.2,1.8,1.8,1.7,1.3,2.1,1.3,2.3,1.6,2.8,4.1,3.6,2.9,3.4,3.3,2.7,1.5,2.3,2.2,1.7,1,1.3,1.4
2013/12/14,PM10,48,42,38,47,54,62,66,68,70,66,65,67,70,68,69,80,91,89,83,77,83,94,91,86
2013/12/14,PM2.5,31,29,31,37,40,38,45,45,48,32,32,35,36,39,32,38,37,37,39,39,43,42,39,34
2013/12/14,WIND_DIREC,33,346,27,36,37,40,34,43,37,337,341,327,4.3,26,8.6,5.2,17,36,24,29,285,76,10,238
2013/12/14,WIND_SPEED,1.6,1.5,1.8,1.2,1.2,1.5,1.4,2.8,2.3,2.9,2,3.6,2.9,3.9,2.2,2,2.5,2,1.4,0.8,1,0.7,1.2,0.6
2013/12/15,PM10,69,67,59,52,54,61,70,67,65,62,57,48,41,37,37,30,28,29,38,38,39,33,43,44
2013/12/15,PM2.5,36,30,32,29,35,38,39,37,34,32,34,31,28,29,33,30,25,24,23,23,24,30,33,31
2013/12/15,WIND_DIREC,217,31,57,331,25,30,25,40,23,28,34,27,334,16,33,28,3.2,324,15,52,29,28,25,33
2013/12/15,WIND_SPEED,0.5,1.6,1.1,1.1,1.2,1.2,1.3,1.5,1.8,2.3,2.3,2,2.1,3,2.1,1.4,1.2,1.6,1.5,0.8,0.9,0.6,1,1
2013/12/16,PM10,52,52,50,45,43,50,56,57,58,55,58,62,66,79,75,71,63,47,39,31,40,42,33,18
2013/12/16,PM2.5,26,24,17,22,24,29,30,29,41,36,46,38,45,37,32,25,20,17,21,22,24,20,18,14
2013/12/16,WIND_DIREC,34,352,69,33,24,238,182,192,242,171,280,247,291,294,32,28,340,48,36,41,60,58,61,43
2013/12/16,WIND_SPEED,1.1,1.5,0.7,0.9,1.5,1.3,1,0.9,1,0.8,1.5,1.5,2.2,2.4,3,3.5,3.3,2.6,2.9,2.6,5.5,4.9,3.8,4.1
2013/12/17,PM10,11,8,9,13,16,21,18,19,25,27,26,27,20,20,24,27,26,19,21,18,10,14,11,15
2013/12/17,PM2.5,11,7,10,9,11,4,8,12,18,18,23,26,21,18,11,17,15,14,13,9,11,8,8,7
2013/12/17,WIND_DIREC,37,53,44,35,29,48,40,12,30,28,339,8.5,7.6,36,42,37,1.4,43,46,50,54,76,72,90
2013/12/17,WIND_SPEED,4.3,3.4,3,1.8,2.7,2.2,2,1.7,2.2,1.7,1.9,1.6,1.9,1.8,2.5,2.7,3.1,3.7,5.2,5.2,2.9,3.1,3.1,3
2013/12/18,PM10,13,10,6,0*,4,7,13,14,11,11,16,0,25,25,21,21,25,28,28,39,39,46,33,37
2013/12/18,PM2.5,4,10,11,15,12,8,9,5,12,7,8,0,1,8,12,18,21,26,29,23,21,22,26,25
2013/12/18,WIND_DIREC,90,49,65,35,26,41,53,49,43,46,44,42,56,42,44,41,34,43,44,38,46,33,41,44
